  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
   30   0.138E-03 -0.140E-02  0.000E+00  0.146E-07  0.509E-08
   31   0.101E-03 -0.103E-02  0.000E+00  0.784E-08  0.273E-08
   32   0.741E-04 -0.754E-03  0.000E+00  0.421E-08  0.147E-08
   33   0.543E-04 -0.552E-03  0.000E+00  0.226E-08  0.787E-09
   34   0.398E-04 -0.405E-03  0.000E+00  0.121E-08  0.422E-09
   35   0.291E-04 -0.296E-03  0.000E+00  0.650E-09  0.227E-09
   36   0.213E-04 -0.217E-03  0.000E+00  0.349E-09  0.122E-09
   37   0.156E-04 -0.159E-03  0.000E+00  0.187E-09  0.653E-10
   38   0.115E-04 -0.117E-03  0.000E+00  0.101E-09  0.350E-10
   39   0.839E-05 -0.854E-04  0.000E+00  0.540E-10  0.188E-10
   40   0.615E-05 -0.626E-04  0.000E+00  0.290E-10  0.101E-10
   41   0.450E-05 -0.458E-04  0.000E+00  0.155E-10  0.542E-11
   42   0.330E-05 -0.336E-04  0.000E+00  0.834E-11  0.291E-11
   43   0.242E-05 -0.246E-04  0.000E+00  0.448E-11  0.156E-11
   44   0.177E-05 -0.180E-04  0.000E+00  0.519E-11  0.181E-11


                   LOVE WAVE        MODE #  0
        T = 0.5882E+01 C =    0.3014E+01 U   = 0.2401E+01
        AL= 0.9588E-02 GAMMA= 0.7415E-03 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.195E+00  0.275E+00 -0.928E-01
    2   0.964E+00 -0.831E+00 -0.195E+00  0.260E+00 -0.663E-01
    3   0.857E+00 -0.160E+01 -0.195E+00  0.233E+00 -0.210E-01
    4   0.689E+00 -0.226E+01 -0.195E+00  0.202E+00  0.304E-01
    5   0.470E+00 -0.275E+01  0.000E+00  0.126E+00  0.337E-01
    6   0.393E+00 -0.230E+01  0.000E+00  0.884E-01  0.236E-01
    7   0.329E+00 -0.192E+01  0.000E+00  0.619E-01  0.165E-01
    8   0.275E+00 -0.161E+01  0.000E+00  0.433E-01  0.115E-01
    9   0.230E+00 -0.134E+01  0.000E+00  0.303E-01  0.807E-02
   10   0.193E+00 -0.112E+01  0.000E+00  0.212E-01  0.565E-02
   11   0.161E+00 -0.941E+00  0.000E+00  0.148E-01  0.395E-02
   12   0.135E+00 -0.787E+00  0.000E+00  0.104E-01  0.276E-02
   13   0.113E+00 -0.658E+00  0.000E+00  0.726E-02  0.193E-02
   14   0.943E-01 -0.551E+00  0.000E+00  0.508E-02  0.135E-02
   15   0.789E-01 -0.461E+00  0.000E+00  0.355E-02  0.947E-03
   16   0.660E-01 -0.385E+00  0.000E+00  0.249E-02  0.662E-03
   17   0.552E-01 -0.322E+00  0.000E+00  0.174E-02  0.463E-03
   18   0.461E-01 -0.270E+00  0.000E+00  0.122E-02  0.324E-03
   19   0.386E-01 -0.225E+00  0.000E+00  0.851E-03  0.227E-03
   20   0.323E-01 -0.189E+00  0.000E+00  0.596E-03  0.159E-03
   21   0.270E-01 -0.158E+00  0.000E+00  0.417E-03  0.111E-03
   22   0.226E-01 -0.132E+00  0.000E+00  0.292E-03  0.777E-04
   23   0.189E-01 -0.110E+00  0.000E+00  0.204E-03  0.543E-04
   24   0.158E-01 -0.923E-01  0.000E+00  0.143E-03  0.380E-04
   25   0.132E-01 -0.772E-01  0.000E+00  0.998E-04  0.266E-04
   26   0.111E-01 -0.646E-01  0.000E+00  0.699E-04  0.186E-04
   27   0.925E-02 -0.540E-01  0.000E+00  0.489E-04  0.130E-04
